Date,ITUB4_BRL,PETR4_BRL,USD_BRL,VALE3_BRL,WEGE3_BRL,IBOV_PONTOS,SP500_BRL,DOWJONES_BRL
2021-07-01,19.3602237701416,8.626142501831055,4.969200134277344,68.5390853881836,30.659997940063477,125666.0,21466.646136905998,172100.94813799858
2021-07-02,19.568885803222656,8.661764144897461,5.045102119445801,69.95569610595703,31.564117431640625,127622.0,21957.99897025153,175500.6959957555
2021-07-05,19.301546096801758,8.56380844116211,5.059199810028076,69.70315551757812,31.250808715820312,126920.0,22019.356910677627,175991.10321656987
2021-07-06,19.268932342529297,8.21353816986084,5.088459014892578,70.07272338867188,30.928543090820312,125095.0,22101.92546831444,175945.53565327823
2021-07-07,19.353700637817383,8.326335906982422,5.195300102233887,70.27595520019531,32.280277252197266,127019.0,22641.792625724338,180182.30226206034
2021-07-08,19.099397659301758,8.16010570526123,5.231200218200684,70.00495910644531,31.089675903320312,125428.0,22603.073607258964,180068.0060921386
2021-07-09,19.099397659301758,8.16010570526123,5.257999897003174,70.00495910644531,31.089675903320312,125428.0,22975.092422997113,183347.29851004668
2021-07-12,19.3602237701416,8.231348037719727,5.257900238037109,70.8733901977539,31.8505859375,127594.0,23053.946504544467,184006.4215092957
2021-07-13,19.477598190307617,8.28180980682373,5.172699928283691,71.29222869873047,31.49250602722168,128168.0,22600.612051597796,180469.2366814986
2021-07-14,19.503681182861328,8.21353816986084,5.162399768829346,70.90419006347656,31.34031867980957,128407.0,22581.884300509002,180339.30089633726
2021-07-15,19.268932342529297,8.03840160369873,5.069900035858154,71.12593078613281,31.259765625,127468.0,22104.915164106293,177380.69157605432
2021-07-16,18.955934524536133,7.919665813446045,5.110000133514404,69.8448257446289,30.695796966552734,125960.0,22111.78897617571,177254.92611570284
2021-07-19,18.845081329345703,7.789056777954102,5.1153998374938965,69.08108520507812,30.597322463989258,124395.0,21783.88025289122,173729.40910127386
2021-07-20,19.092863082885742,7.892950534820557,5.250899791717529,69.66004180908203,30.928543090820312,125401.0,22699.955161252292,181218.99207777344
2021-07-21,19.171113967895508,8.002781867980957,5.219900131225586,70.46073150634766,30.839025497436523,125929.0,22751.926197118126,181642.08476638794
2021-07-22,18.975496292114258,7.984971523284912,5.187300205230713,70.64551544189453,31.420886993408203,126147.0,22655.429799026577,180639.17870697752
2021-07-23,18.92332649230957,7.937479019165039,5.1996002197265625,70.28827667236328,31.152347564697266,125053.0,22939.544456496835,182306.04714614153
2021-07-26,19.255889892578125,8.154169082641602,5.19789981842041,71.81574249267578,31.018064498901367,126004.0,22986.67135178577,182676.59525796399
2021-07-27,19.444992065429688,8.05918025970459,5.1753997802734375,70.32523345947266,30.785310745239258,124612.0,22779.31491471827,181441.85427874327
2021-07-28,20.077510833740234,8.225410461425781,5.169099807739258,72.24688720703125,33.3007698059082,126286.0,22747.348084642552,180561.46193180978
2021-07-29,19.973175048828125,8.255096435546875,5.114799976348877,71.18135070800781,32.342933654785156,125675.0,22603.067815989954,179450.35960771143
2021-07-30,19.75798797607422,7.98793888092041,5.080399990081787,66.98698425292969,31.966949462890625,121801.0,22329.677669688128,177486.15509100258
2021-08-02,19.87868881225586,7.839520454406738,5.208700180053711,67.0916748046875,32.95439529418945,122516.0,22851.40189578384,181461.5310785994
2021-08-03,20.074399948120117,7.970130443572998,5.174600124359131,69.37673950195312,32.747581481933594,123577.0,22888.032034727046,181713.3197217323
2021-08-04,19.51333236694336,7.800931930541992,5.196800231933594,69.30281829833984,32.43287658691406,121801.0,22879.745321124792,180810.56526958942
2021-08-05,19.572059631347656,8.415389060974121,5.1682000160217285,67.1840591430664,32.24406433105469,121633.0,22890.47519566887,181219.0574117899
2021-08-06,20.120073318481445,8.427260398864746,5.245200157165527,67.5659408569336,32.58573913574219,122810.0,23270.43550371332,184675.6912007518
2021-08-09,20.35494041442871,8.367892265319824,5.23199987411499,67.14096069335938,32.5138053894043,123019.0,23190.055152971065,183652.88295620307
2021-08-10,19.97002601623535,8.394608497619629,5.231800079345703,67.78766632080078,32.45086669921875,122202.0,23212.18900203705,184497.71311372519
2021-08-11,20.191837310791016,8.5103759765625,5.188300132751465,67.30108642578125,32.50481033325195,122056.0,23048.55720340833,184106.66807630658
2021-08-12,19.813444137573242,8.638017654418945,5.218200206756592,67.25798797607422,31.929336547851562,120701.0,23277.5044359779,185245.33276326582
2021-08-13,20.0809268951416,8.712226867675781,5.252200126647949,66.70364379882812,32.16313171386719,121194.0,23466.830165863037,186533.87758935615
2021-08-16,19.86087417602539,8.501470565795898,5.247499942779541,67.01160430908203,30.94025421142578,119180.0,23507.27776368847,186944.2762622796
2021-08-17,19.78887176513672,8.501442909240723,5.259699821472168,65.90296173095703,31.192033767700195,117904.0,23395.56599280797,185895.05008086562
2021-08-18,19.828144073486328,8.425960540771484,5.294300079345703,63.691837310791016,30.193958282470703,116643.0,23296.349913546816,185092.39128609002
2021-08-19,19.572839736938477,8.378782272338867,5.378600120544434,60.05791473388672,31.641613006591797,117165.0,23697.03536058683,187681.5239211358
2021-08-20,19.500843048095703,8.36620044708252,5.414100170135498,60.08256149291992,32.35196304321289,118053.0,24047.64587970916,190143.62095173448
2021-08-23,19.710308074951172,8.498297691345215,5.379000186920166,59.2510871887207,32.145145416259766,117472.0,24095.39155166992,190070.79573776945
2021-08-24,20.260194778442383,8.67442798614502,5.379899978637695,61.412933349609375,32.0642204284668,120211.0,24135.468576087616,190266.95066519827
2021-08-25,20.286376953125,8.72160530090332,5.245800018310547,61.28358459472656,32.71162033081055,120818.0,23586.113276956603,185730.17254829407
2021-08-26,19.7954158782959,8.646122932434082,5.210999965667725,60.50138473510742,33.06229019165039,118724.0,23293.16984653473,183495.57281058468
2021-08-27,20.135812759399414,8.960640907287598,5.2515997886657715,62.01652908325195,33.17919921875,120678.0,23681.40715443762,186199.6758897882
2021-08-30,19.99179458618164,8.90088176727295,5.2027997970581055,61.62235641479492,32.981361389160156,119740.0,23562.387896153145,184178.27955495194
